sample,Year,Season,Temperature,Salinity
Dec_2015,1,1,27.94255318,35.40626223
Jan_2016,2,1,28.24933258,35.16468574
Mar_2016,2,2,29.25099424,34.81502647
Jun_2016,2,4,26.89494558,34.99976359
Dec_2016,2,1,28.22732917,35.45566355
Jan_2017,3,1,29.50231808,35.37998496
Mar_2017,3,2,29.39775396,34.9776234
Dec_2017,3,1,28.22693958,35.22966896
Jan_2018,4,1,28.90550694,35.28332867
Mar_2018,4,2,29.14254028,34.2219698
Nov_2019,5,3,27.82468186,35.36169392
Jan_2020,6,1,29.72932634,35.26274403
